filename,Maneuvering
00815481.png,0.0575
00815521.png,0.2637
00815561.png,0.7458
00815602.png,0.235
00815766.png,0.4147
00815807.png,0.6469
00815848.png,0.5064
00815889.png,0.1684
00815970.png,0.1135
00816010.png,0.3933
00816049.png,0.2438
00816433.png,-0.023
00816511.png,-0.0377
00816552.png,-0.2401
00816721.png,-0.8496
00816914.png,-0.176
00817390.png,0.003
00817469.png,-0.0642
00817508.png,0.3976
00817629.png,-0.0587
00817669.png,-0.013
00817709.png,-0.1907
00817832.png,-0.1111
00817873.png,-0.1675
00817995.png,-0.0842
00818519.png,0.4201
00818763.png,0.7663
00819234.png,0.0091
00819553.png,-0.0663
00819594.png,-0.0339
00819635.png,-0.0821
00819675.png,-0.4144
00819921.png,-0.1692
00820167.png,-0.4167
00820208.png,-0.6486
00820449.png,0.405
00820566.png,0.8299
00820871.png,0.4536
00820994.png,0.9006
00821146.png,0.0308
00821202.png,-0.3773
00821385.png,0.1476
00823028.png,-0.125
00823109.png,0.0519
00823149.png,-0.4111
00823377.png,-0.151
00823748.png,-0.0079
00823784.png,0.7296
00823801.png,-0.4864
00823931.png,0.494
00824115.png,-0.0505
00824590.png,-0.1593
00824627.png,-0.0799
00824825.png,-0.0305
00824934.png,-0.6876
00825189.png,0.8533
00825653.png,-0.4873
00825726.png,-0.3135
00825763.png,-0.2821
00826024.png,0.3244
00826062.png,0.1118
00826412.png,0.0046
00826487.png,-0.9281
00826527.png,0.115
00826924.png,-0.2148
00826960.png,-0.7142
00827223.png,-0.2135
00827463.png,0.3852
00827504.png,-0.6734
00827544.png,0.2928
00827707.png,0.8236
00828416.png,0.4919
00828466.png,-0.438
00828541.png,0.3634
00828581.png,-0.1508
00828663.png,0.1918
00828730.png,-0.57
00829070.png,-0.0186
00829152.png,0.0072
00829311.png,-0.6106
00829390.png,-0.2401
00829513.png,-0.2326
00829554.png,0.0079
00829958.png,0.1626
00830036.png,0.0066
00830073.png,0.0241
00830217.png,-0.7948
00830257.png,-0.0674
00830298.png,-0.6942
00830420.png,0.0613
00830542.png,-0.0798
00830623.png,-0.7514
00830663.png,-0.061
00830776.png,-0.3451
00830846.png,0.1337
00830865.png,-0.7136
00830916.png,-0.0451
00831187.png,0.108
00831265.png,-0.0319
00831303.png,0.8827
00831460.png,0.0317
00831497.png,-0.2518
00831553.png,-0.526
00831588.png,-0.5614
00831623.png,-0.7192
00831746.png,0.0879
00831798.png,-0.4245
00831871.png,0.6029
00831958.png,0.1392
00831997.png,-0.7021
00832077.png,-0.0889
00832321.png,-0.1189
00832362.png,-0.1137
00832522.png,0.2871
00832559.png,0.0627
00832668.png,0.4437
00833031.png,0.069
00833071.png,0.0981
00833191.png,-0.0158
00833228.png,-0.0034
00833348.png,0.1514
00833991.png,-0.0975
00834196.png,0.0235
00834236.png,0.3
00834277.png,0.4266
00834359.png,-0.1993
00834400.png,-0.0416
00834441.png,0.0083
00834482.png,0.3255
00834523.png,0.0853
00834563.png,0.7628
00835410.png,-0.1019
00835573.png,-0.0199
00835648.png,-0.0517
00835685.png,0.1371
00835723.png,-0.0434
00836082.png,-0.0266
00836285.png,0.2946
00836326.png,0.1856
00836367.png,0.3472
00836409.png,0.4766
00836692.png,-0.1858
00836845.png,0.369
00836883.png,0.1248
00836921.png,-0.0927
00836960.png,0.0884
00836999.png,0.0728
00837118.png,-0.0948
00837158.png,0.3089
00837236.png,-0.1525
00837345.png,-0.8156
00837864.png,-0.1698
00838019.png,0.0257
00838060.png,0.0021
00838127.png,-0.9599
00838329.png,-0.6739
00838366.png,0.3053
00838475.png,0.1794
00838580.png,0.3892
00838771.png,-0.3977
00838892.png,0.6525
00839280.png,0.6997
00839318.png,0.3446
00839356.png,0.1855
00839394.png,0.0853
00839514.png,-0.2516
00839858.png,-0.9475
00839898.png,-0.17
00839939.png,-0.529
00840062.png,0.0169
00840266.png,-0.3169
00840307.png,0.2331
00840387.png,0.0331
00840468.png,0.1399
00840549.png,0.0568
00840787.png,-0.0467
00840825.png,-0.4536
00840901.png,0.1462
00840940.png,0.0863
00840978.png,-0.0529
00841094.png,0.4747
00841133.png,-0.0774
00841174.png,-0.1909
00841214.png,0.013
00841458.png,0.2469
00841538.png,-0.0902
00841699.png,0.1071
00841781.png,0.9742
00841938.png,-0.2164
00842016.png,-0.2714
00842168.png,-0.1351
00842206.png,-0.3549
00842284.png,0.0456
00842323.png,0.9608
00842486.png,0.3984
00842528.png,0.2808
00842569.png,0.8364
00842924.png,0.5723
00843274.png,0.5532
00843310.png,-0.103
00844315.png,0.9297
00844356.png,0.9465
00844563.png,0.0555
00844641.png,0.1294
00844678.png,0.0999
00844716.png,0.2571
00844755.png,0.2301
00844794.png,0.2037
00844832.png,0.1867
00844870.png,0.2398
00844908.png,0.265
00844946.png,0.1791
00844985.png,0.1651
00845184.png,0.1881
00845223.png,0.0879
00845262.png,0.0545
00845299.png,-0.1479
00845336.png,-0.1298
00845445.png,0.8294
00845482.png,0.537
00845521.png,0.4315
00845559.png,0.1567
00845739.png,-0.286
00845814.png,0.5032
00846995.png,0.587
00847032.png,0.594
00847069.png,0.5921
00847135.png,0.3993
00847177.png,0.2186
00847213.png,0.109
00847288.png,0.3488
00847349.png,-0.6182
00847395.png,0.0357
00847499.png,0.1174
00847684.png,0.7495
00847722.png,0.6473
00847761.png,0.0828
00847801.png,0.197
00847840.png,-0.3289
00847878.png,-0.4687
00847956.png,-0.1977
00847997.png,-0.196
00848037.png,0.2187
00848199.png,0.2422
00848240.png,0.3585
00848282.png,0.6967
00848717.png,-0.1989
00848839.png,0.8339
00849000.png,-0.1469
00849038.png,-0.0828
00849192.png,-0.9683
00849232.png,-0.2359
00849273.png,-0.2795
00849314.png,-0.2441
00849478.png,-0.161
00849560.png,-0.0273
00849762.png,0.0264
00850007.png,0.4715
00850163.png,-0.8527
00850204.png,-0.9051
00850410.png,0.0111
00850451.png,-0.182
00850572.png,-0.0156
00850613.png,-0.2168
00850654.png,-0.3475
00850695.png,-0.0377
00850896.png,0.1575
00850935.png,-0.0691
00851012.png,-0.8838
00851053.png,-0.1997
00851123.png,-0.8326
00851176.png,0.0982
00851423.png,-0.0166
00851463.png,-0.4311
00851504.png,-0.3784
00851545.png,-0.4505
00851585.png,-0.1827
00851626.png,-0.1619
00851743.png,-0.1645
00851780.png,-0.0943
00851816.png,-0.1918
00851852.png,-0.315
00851889.png,0.8418
00852212.png,-0.071
00852331.png,-0.0758
00852368.png,-0.2816
00852447.png,-0.1329
00852488.png,0.1568
00852529.png,0.5475
